order_item_id,order_id,product_id,quantity,line_total
OI0000001,ORD000001,PRD00008,3,287.88
OI0000002,ORD000002,PRD00015,2,208.52
OI0000003,ORD000003,PRD00022,5,106.8
OI0000004,ORD000004,PRD00029,5,935.8
OI0000005,ORD000005,PRD00036,2,130.88
OI0000006,ORD000006,PRD00043,5,497.05
OI0000007,ORD000007,PRD00050,1,66.5
OI0000008,ORD000008,PRD00057,5,1161.65
OI0000009,ORD000009,PRD00064,1,174.38
OI0000010,ORD000010,PRD00071,3,472.92
OI0000011,ORD000011,PRD00078,5,772.5
OI0000012,ORD000012,PRD00085,5,837.8
OI0000013,ORD000013,PRD00092,3,391.98
OI0000014,ORD000014,PRD00099,4,264.16
OI0000015,ORD000015,PRD00106,1,58.17
OI0000016,ORD000016,PRD00113,3,208.89
OI0000017,ORD000017,PRD00120,4,41.64
OI0000018,ORD000018,PRD00007,1,89.22
OI0000019,ORD000019,PRD00014,4,862.08
OI0000020,ORD000020,PRD00021,2,495.68
OI0000021,ORD000021,PRD00028,4,590.68
OI0000022,ORD000022,PRD00035,1,235.03
OI0000023,ORD000023,PRD00042,2,56.92
OI0000024,ORD000024,PRD00049,4,664.56
OI0000025,ORD000025,PRD00056,1,52.66
OI0000026,ORD000026,PRD00063,4,895.16
OI0000027,ORD000027,PRD00070,1,76.55
OI0000028,ORD000028,PRD00077,2,22.96
OI0000029,ORD000029,PRD00084,2,137.38
OI0000030,ORD000030,PRD00091,1,44.14
OI0000031,ORD000031,PRD00098,5,1129.7
OI0000032,ORD000032,PRD00105,5,316.35
OI0000033,ORD000033,PRD00112,2,252.74
OI0000034,ORD000034,PRD00119,1,58.84
OI0000035,ORD000035,PRD00006,1,135.34
OI0000036,ORD000036,PRD00013,5,378.95
OI0000037,ORD000037,PRD00020,1,247.15
OI0000038,ORD000038,PRD00027,5,964.65
OI0000039,ORD000039,PRD00034,2,313.88
OI0000040,ORD000040,PRD00041,2,344.86
OI0000041,ORD000041,PRD00048,2,469.22
OI0000042,ORD000042,PRD00055,3,598.02
OI0000043,ORD000043,PRD00062,4,917.92
OI0000044,ORD000044,PRD00069,5,395.15
OI0000045,ORD000045,PRD00076,5,457.85
OI0000046,ORD000046,PRD00083,4,484.88
OI0000047,ORD000047,PRD00090,4,846.32
OI0000048,ORD000048,PRD00097,1,207.0
OI0000049,ORD000049,PRD00104,4,666.16
OI0000050,ORD000050,PRD00111,1,124.55
OI0000051,ORD000051,PRD00118,2,430.52
OI0000052,ORD000052,PRD00005,3,476.82
OI0000053,ORD000053,PRD00012,3,192.63
OI0000054,ORD000054,PRD00019,1,15.68
OI0000055,ORD000055,PRD00026,3,286.59
OI0000056,ORD000056,PRD00033,3,390.66
OI0000057,ORD000057,PRD00040,3,47.31
OI0000058,ORD000058,PRD00047,4,382.84
OI0000059,ORD000059,PRD00054,2,216.3
OI0000060,ORD000060,PRD00061,5,68.9
OI0000061,ORD000061,PRD00068,4,484.56
OI0000062,ORD000062,PRD00075,4,941.48
OI0000063,ORD000063,PRD00082,4,622.48
OI0000064,ORD000064,PRD00089,5,581.3
OI0000065,ORD000065,PRD00096,1,129.23
OI0000066,ORD000066,PRD00103,3,253.65
OI0000067,ORD000067,PRD00110,4,171.92
OI0000068,ORD000068,PRD00117,5,1042.15
OI0000069,ORD000069,PRD00004,2,423.86
OI0000070,ORD000070,PRD00011,3,686.91
OI0000071,ORD000071,PRD00018,5,64.9
OI0000072,ORD000072,PRD00025,2,488.56
OI0000073,ORD000073,PRD00032,2,428.74
OI0000074,ORD000074,PRD00039,5,1140.55
OI0000075,ORD000075,PRD00046,2,290.46
OI0000076,ORD000076,PRD00053,4,364.96
OI0000077,ORD000077,PRD00060,4,795.56
OI0000078,ORD000078,PRD00067,3,125.82
OI0000079,ORD000079,PRD00074,2,481.92
OI0000080,ORD000080,PRD00081,5,429.85
OI0000081,ORD000081,PRD00088,4,428.84
OI0000082,ORD000082,PRD00095,1,235.27
OI0000083,ORD000083,PRD00102,5,669.85
OI0000084,ORD000084,PRD00109,1,32.34
OI0000085,ORD000085,PRD00116,5,222.65
OI0000086,ORD000086,PRD00003,4,180.96
OI0000087,ORD000087,PRD00010,1,179.94
OI0000088,ORD000088,PRD00017,5,354.35
OI0000089,ORD000089,PRD00024,3,235.86
OI0000090,ORD000090,PRD00031,2,71.7
OI0000091,ORD000091,PRD00038,5,624.55
OI0000092,ORD000092,PRD00045,5,607.75
OI0000093,ORD000093,PRD00052,3,28.8
OI0000094,ORD000094,PRD00059,2,476.94
OI0000095,ORD000095,PRD00066,3,90.3
OI0000096,ORD000096,PRD00073,1,119.28
OI0000097,ORD000097,PRD00080,1,27.33
OI0000098,ORD000098,PRD00087,3,741.72
OI0000099,ORD000099,PRD00094,5,308.65
OI0000100,ORD000100,PRD00101,1,10.97
