order_id,customer_id,order_date,status
ORD000001,CUST00001,2024-07-21,pending
ORD000002,CUST00002,2024-01-28,cancelled
ORD000003,CUST00003,2024-01-07,cancelled
ORD000004,CUST00004,2024-04-01,cancelled
ORD000005,CUST00005,2024-03-31,completed
ORD000006,CUST00006,2024-08-27,pending
ORD000007,CUST00007,2024-12-14,completed
ORD000008,CUST00008,2024-09-21,cancelled
ORD000009,CUST00009,2024-11-09,pending
ORD000010,CUST00010,2024-11-29,completed
ORD000011,CUST00011,2024-02-27,completed
ORD000012,CUST00012,2024-09-23,completed
ORD000013,CUST00013,2024-09-12,cancelled
ORD000014,CUST00014,2024-11-28,completed
ORD000015,CUST00015,2024-01-20,completed
ORD000016,CUST00016,2024-10-16,completed
ORD000017,CUST00017,2024-10-17,completed
ORD000018,CUST00018,2024-06-25,completed
ORD000019,CUST00019,2024-05-20,completed
ORD000020,CUST00020,2024-02-04,completed
ORD000021,CUST00021,2024-11-09,completed
ORD000022,CUST00022,2024-12-27,completed
ORD000023,CUST00023,2024-03-10,completed
ORD000024,CUST00024,2024-11-25,cancelled
ORD000025,CUST00025,2024-09-08,completed
ORD000026,CUST00026,2024-09-21,completed
ORD000027,CUST00027,2024-05-17,completed
ORD000028,CUST00028,2024-06-19,completed
ORD000029,CUST00029,2024-08-02,pending
ORD000030,CUST00030,2024-02-21,completed
ORD000031,CUST00031,2024-02-27,completed
ORD000032,CUST00032,2024-06-02,completed
ORD000033,CUST00033,2024-07-23,completed
ORD000034,CUST00034,2024-09-01,completed
ORD000035,CUST00035,2024-12-02,completed
ORD000036,CUST00036,2024-12-23,completed
ORD000037,CUST00037,2024-02-25,completed
ORD000038,CUST00038,2024-06-15,completed
ORD000039,CUST00039,2024-06-24,completed
ORD000040,CUST00040,2024-08-07,cancelled
ORD000041,CUST00041,2024-09-04,pending
ORD000042,CUST00042,2024-02-01,cancelled
ORD000043,CUST00043,2024-11-18,completed
ORD000044,CUST00044,2024-09-28,cancelled
ORD000045,CUST00045,2024-12-04,completed
ORD000046,CUST00046,2024-01-30,completed
ORD000047,CUST00047,2024-11-22,completed
ORD000048,CUST00048,2024-05-29,completed
ORD000049,CUST00049,2024-11-20,completed
ORD000050,CUST00050,2024-11-02,completed
ORD000051,CUST00051,2024-02-23,completed
ORD000052,CUST00052,2024-03-10,completed
ORD000053,CUST00053,2024-03-24,cancelled
ORD000054,CUST00054,2024-06-03,cancelled
ORD000055,CUST00055,2024-01-28,cancelled
ORD000056,CUST00056,2024-11-15,completed
ORD000057,CUST00057,2024-04-12,cancelled
ORD000058,CUST00058,2024-08-13,pending
ORD000059,CUST00059,2024-09-15,pending
ORD000060,CUST00060,2024-11-20,completed
ORD000061,CUST00061,2024-07-29,cancelled
ORD000062,CUST00062,2024-03-01,pending
ORD000063,CUST00063,2024-10-04,completed
ORD000064,CUST00064,2024-07-16,completed
ORD000065,CUST00065,2024-05-20,completed
ORD000066,CUST00066,2024-12-08,cancelled
ORD000067,CUST00067,2024-02-15,completed
ORD000068,CUST00068,2024-05-07,pending
ORD000069,CUST00069,2024-06-22,cancelled
ORD000070,CUST00070,2024-06-01,completed
ORD000071,CUST00071,2024-05-16,completed
ORD000072,CUST00072,2024-11-21,completed
ORD000073,CUST00073,2024-05-13,cancelled
ORD000074,CUST00074,2024-04-02,completed
ORD000075,CUST00075,2024-09-16,completed
ORD000076,CUST00076,2024-05-19,completed
ORD000077,CUST00077,2024-08-03,completed
ORD000078,CUST00078,2024-07-10,pending
ORD000079,CUST00079,2024-03-08,completed
ORD000080,CUST00080,2024-05-19,pending
ORD000081,CUST00081,2024-05-31,completed
ORD000082,CUST00082,2024-11-19,completed
ORD000083,CUST00083,2024-09-11,completed
ORD000084,CUST00084,2024-06-25,completed
ORD000085,CUST00085,2024-08-19,cancelled
ORD000086,CUST00086,2024-03-19,completed
ORD000087,CUST00087,2024-11-18,completed
ORD000088,CUST00088,2024-06-18,completed
ORD000089,CUST00089,2024-06-08,completed
ORD000090,CUST00090,2024-03-15,completed
ORD000091,CUST00091,2024-03-08,cancelled
ORD000092,CUST00092,2024-06-07,completed
ORD000093,CUST00093,2024-10-25,cancelled
ORD000094,CUST00094,2024-08-28,completed
ORD000095,CUST00095,2024-09-06,cancelled
ORD000096,CUST00096,2024-09-29,pending
ORD000097,CUST00097,2024-12-30,pending
ORD000098,CUST00098,2024-07-20,completed
ORD000099,CUST00099,2024-10-12,pending
ORD000100,CUST00100,2024-11-26,completed
ORD000101,CUST00101,2024-11-11,completed
ORD000102,CUST00102,2024-12-07,completed
ORD000103,CUST00103,2024-01-27,completed
ORD000104,CUST00104,2024-12-13,cancelled
ORD000105,CUST00105,2024-06-04,completed
ORD000106,CUST00106,2024-07-06,completed
ORD000107,CUST00107,2024-11-26,pending
ORD000108,CUST00108,2024-08-15,completed
ORD000109,CUST00109,2024-03-28,completed
ORD000110,CUST00110,2024-02-29,completed
ORD000111,CUST00111,2024-05-27,completed
ORD000112,CUST00112,2024-03-21,cancelled
ORD000113,CUST00113,2024-07-19,pending
ORD000114,CUST00114,2024-03-30,completed
ORD000115,CUST00115,2024-01-02,completed
ORD000116,CUST00116,2024-07-14,pending
ORD000117,CUST00117,2024-09-12,completed
ORD000118,CUST00118,2024-08-24,completed
ORD000119,CUST00119,2024-09-28,completed
ORD000120,CUST00120,2024-10-31,completed
ORD000121,CUST00121,2024-02-07,completed
ORD000122,CUST00122,2024-10-28,completed
ORD000123,CUST00123,2024-04-23,completed
ORD000124,CUST00124,2024-07-18,pending
ORD000125,CUST00125,2024-05-04,completed
ORD000126,CUST00126,2024-01-21,cancelled
ORD000127,CUST00127,2024-06-30,cancelled
ORD000128,CUST00128,2024-06-19,completed
ORD000129,CUST00129,2024-06-09,completed
ORD000130,CUST00130,2024-02-13,completed
ORD000131,CUST00131,2024-04-28,completed
ORD000132,CUST00132,2024-01-26,completed
ORD000133,CUST00133,2024-03-29,completed
ORD000134,CUST00134,2024-09-12,pending
ORD000135,CUST00135,2024-10-14,completed
ORD000136,CUST00136,2024-09-28,cancelled
ORD000137,CUST00137,2024-08-06,completed
ORD000138,CUST00138,2024-10-30,completed
ORD000139,CUST00139,2024-11-15,completed
ORD000140,CUST00140,2024-07-12,cancelled
ORD000141,CUST00141,2024-04-20,completed
ORD000142,CUST00142,2024-11-15,completed
ORD000143,CUST00143,2024-10-31,pending
ORD000144,CUST00144,2024-11-22,completed
ORD000145,CUST00145,2024-06-19,completed
ORD000146,CUST00146,2024-12-03,completed
ORD000147,CUST00147,2024-10-22,cancelled
ORD000148,CUST00148,2024-09-22,completed
ORD000149,CUST00149,2024-03-01,pending
ORD000150,CUST00150,2024-04-07,completed
ORD000151,CUST00151,2024-09-30,completed
ORD000152,CUST00152,2024-06-19,completed
ORD000153,CUST00153,2024-10-12,completed
ORD000154,CUST00154,2024-07-30,pending
ORD000155,CUST00155,2024-05-07,cancelled
ORD000156,CUST00156,2024-06-17,completed
ORD000157,CUST00157,2024-06-17,completed
ORD000158,CUST00158,2024-03-14,pending
ORD000159,CUST00159,2024-02-20,completed
ORD000160,CUST00160,2024-04-24,completed
ORD000161,CUST00161,2024-11-02,pending
ORD000162,CUST00162,2024-12-26,completed
ORD000163,CUST00163,2024-08-05,completed
ORD000164,CUST00164,2024-06-14,completed
ORD000165,CUST00165,2024-10-07,completed
ORD000166,CUST00166,2024-08-31,completed
ORD000167,CUST00167,2024-08-25,completed
ORD000168,CUST00168,2024-05-27,completed
ORD000169,CUST00169,2024-11-15,completed
ORD000170,CUST00170,2024-10-09,pending
ORD000171,CUST00171,2024-06-26,cancelled
ORD000172,CUST00172,2024-09-30,completed
ORD000173,CUST00173,2024-02-25,cancelled
ORD000174,CUST00174,2024-01-20,completed
ORD000175,CUST00175,2024-01-31,pending
ORD000176,CUST00176,2024-08-16,completed
ORD000177,CUST00177,2024-08-31,pending
ORD000178,CUST00178,2024-05-14,cancelled
ORD000179,CUST00179,2024-02-11,completed
ORD000180,CUST00180,2024-03-12,pending
ORD000181,CUST00181,2024-09-06,completed
ORD000182,CUST00182,2024-02-19,completed
ORD000183,CUST00183,2024-01-25,completed
ORD000184,CUST00184,2024-11-20,completed
ORD000185,CUST00185,2024-01-10,pending
ORD000186,CUST00186,2024-02-24,completed
ORD000187,CUST00187,2024-04-01,completed
ORD000188,CUST00188,2024-08-25,completed
ORD000189,CUST00189,2024-04-28,cancelled
ORD000190,CUST00190,2024-10-01,pending
ORD000191,CUST00191,2024-10-09,pending
ORD000192,CUST00192,2024-12-16,completed
ORD000193,CUST00193,2024-08-11,pending
ORD000194,CUST00194,2024-01-28,completed
ORD000195,CUST00195,2024-03-12,completed
ORD000196,CUST00196,2024-02-17,pending
ORD000197,CUST00197,2024-07-18,cancelled
ORD000198,CUST00198,2024-04-16,pending
ORD000199,CUST00199,2024-03-31,completed
ORD000200,CUST00200,2024-07-29,completed
ORD000201,CUST00201,2024-03-27,completed
ORD000202,CUST00202,2024-04-30,cancelled
ORD000203,CUST00203,2024-08-22,completed
ORD000204,CUST00204,2024-05-28,cancelled
ORD000205,CUST00205,2024-10-07,completed
ORD000206,CUST00206,2024-01-04,completed
ORD000207,CUST00207,2024-09-25,cancelled
ORD000208,CUST00208,2024-12-06,cancelled
ORD000209,CUST00209,2024-04-30,completed
