product_id,product_name,category,unit_price,supplier_id
PRD00001,Product 1,apparel,186.35,SUP0001
PRD00002,Product 2,sports,210.95,SUP0002
PRD00003,Product 3,home,45.24,SUP0003
PRD00004,Product 4,grocery,211.93,SUP0004
PRD00005,Product 5,grocery,158.94,SUP0005
PRD00006,Product 6,home,135.34,SUP0006
PRD00007,Product 7,electronics,89.22,SUP0007
PRD00008,Product 8,sports,95.96,SUP0008
PRD00009,Product 9,grocery,10.97,SUP0009
PRD00010,Product 10,electronics,179.94,SUP0010
PRD00011,Product 11,electronics,228.97,SUP0011
PRD00012,Product 12,grocery,64.21,SUP0012
PRD00013,Product 13,home,75.79,SUP0013
PRD00014,Product 14,home,215.52,SUP0014
PRD00015,Product 15,sports,104.26,SUP0015
PRD00016,Product 16,home,59.66,SUP0016
PRD00017,Product 17,sports,70.87,SUP0017
PRD00018,Product 18,apparel,12.98,SUP0018
PRD00019,Product 19,electronics,15.68,SUP0019
PRD00020,Product 20,grocery,247.15,SUP0020
PRD00021,Product 21,sports,247.84,SUP0021
PRD00022,Product 22,apparel,21.36,SUP0022
PRD00023,Product 23,home,118.91,SUP0023
PRD00024,Product 24,home,78.62,SUP0024
PRD00025,Product 25,apparel,244.28,SUP0025
PRD00026,Product 26,electronics,95.53,SUP0001
PRD00027,Product 27,electronics,192.93,SUP0002
PRD00028,Product 28,sports,147.67,SUP0003
PRD00029,Product 29,apparel,187.16,SUP0004
PRD00030,Product 30,grocery,186.71,SUP0005
PRD00031,Product 31,electronics,35.85,SUP0006
PRD00032,Product 32,grocery,214.37,SUP0007
PRD00033,Product 33,electronics,130.22,SUP0008
PRD00034,Product 34,home,156.94,SUP0009
PRD00035,Product 35,electronics,235.03,SUP0010
PRD00036,Product 36,grocery,65.44,SUP0011
PRD00037,Product 37,home,135.81,SUP0012
PRD00038,Product 38,home,124.91,SUP0013
PRD00039,Product 39,home,228.11,SUP0014
PRD00040,Product 40,electronics,15.77,SUP0015
PRD00041,Product 41,apparel,172.43,SUP0016
PRD00042,Product 42,home,28.46,SUP0017
PRD00043,Product 43,home,99.41,SUP0018
PRD00044,Product 44,apparel,137.35,SUP0019
PRD00045,Product 45,sports,121.55,SUP0020
PRD00046,Product 46,home,145.23,SUP0021
PRD00047,Product 47,sports,95.71,SUP0022
PRD00048,Product 48,home,234.61,SUP0023
PRD00049,Product 49,electronics,166.14,SUP0024
PRD00050,Product 50,apparel,66.5,SUP0025
PRD00051,Product 51,home,6.11,SUP0001
PRD00052,Product 52,grocery,9.6,SUP0002
PRD00053,Product 53,electronics,91.24,SUP0003
PRD00054,Product 54,electronics,108.15,SUP0004
PRD00055,Product 55,apparel,199.34,SUP0005
PRD00056,Product 56,sports,52.66,SUP0006
PRD00057,Product 57,home,232.33,SUP0007
PRD00058,Product 58,apparel,235.86,SUP0008
PRD00059,Product 59,apparel,238.47,SUP0009
PRD00060,Product 60,electronics,198.89,SUP0010
PRD00061,Product 61,grocery,13.78,SUP0011
PRD00062,Product 62,grocery,229.48,SUP0012
PRD00063,Product 63,home,223.79,SUP0013
PRD00064,Product 64,sports,174.38,SUP0014
PRD00065,Product 65,grocery,45.12,SUP0015
PRD00066,Product 66,apparel,30.1,SUP0016
PRD00067,Product 67,apparel,41.94,SUP0017
PRD00068,Product 68,electronics,121.14,SUP0018
PRD00069,Product 69,home,79.03,SUP0019
PRD00070,Product 70,apparel,76.55,SUP0020
PRD00071,Product 71,apparel,157.64,SUP0021
PRD00072,Product 72,home,223.35,SUP0022
PRD00073,Product 73,sports,119.28,SUP0023
PRD00074,Product 74,apparel,240.96,SUP0024
PRD00075,Product 75,electronics,235.37,SUP0025
PRD00076,Product 76,electronics,91.57,SUP0001
PRD00077,Product 77,electronics,11.48,SUP0002
PRD00078,Product 78,electronics,154.5,SUP0003
PRD00079,Product 79,grocery,236.23,SUP0004
PRD00080,Product 80,electronics,27.33,SUP0005
